src_ip,packet_count,unique_ports,proto_avg,attack_list,port_scan_ratio,common_port_ratio,rule_pred,ml_pred,risk_score,final_pred
168.0.164.222,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.223,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.224,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.225,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.226,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.227,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.228,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.229,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.230,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.233,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.234,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.235,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.236,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.237,5,1,1.0,"['NA', 'NA', 'NA', 'NA', 'NA']",0.16666666666666666,0.0,0,0,0.015276682467402153,0
168.0.164.238,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.239,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.24,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.240,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.241,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.242,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.243,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.244,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.245,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.246,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.247,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.248,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.249,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.25,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.251,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.252,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.253,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.254,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.255,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.26,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.27,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.28,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.29,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.3,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.30,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.31,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.32,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.33,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.34,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.35,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.36,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.37,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.38,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.39,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.4,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.42,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.43,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.44,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.45,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.46,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.47,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.48,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.49,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.5,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.50,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.51,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.52,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.53,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.54,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.55,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.56,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.57,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.58,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.59,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.6,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.60,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.61,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.62,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.63,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.64,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.66,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.67,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.68,4,1,1.0,"['NA', 'NA', 'NA', 'NA']",0.2,0.0,0,0,0.013072833193416266,0
168.0.164.69,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.7,3,1,1.0,"['NA', 'NA', 'NA']",0.25,0.0,0,0,0.010894027661180222,0
168.0.164.70,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.71,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
168.0.164.72,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.73,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.74,1,1,1.0,['NA'],0.5,0.0,0,0,0.006761810272456689,0
168.0.164.76,2,1,1.0,"['NA', 'NA']",0.3333333333333333,0.0,0,0,0.008765309612443857,0
